id,player_id,player_name,team_id,team_name,played_matches,goals,assists,penalties,collected_at
51,3218,Lionel Messi,762,Argentina,3,6,,,2026-06-29T08:57:06.493878+00:00
52,1556,Vinicius Junior,764,Brazil,3,4,1.0,,2026-06-29T08:57:06.493974+00:00
53,3374,Kylian Mbappé,773,France,3,4,2.0,,2026-06-29T08:57:06.493986+00:00
54,38101,Erling Haaland,8872,Norway,3,4,,,2026-06-29T08:57:06.493992+00:00
55,3373,Ousmane Dembélé,773,France,3,4,1.0,,2026-06-29T08:57:06.493997+00:00
56,130173,Ismael Saibari,815,Morocco,3,3,,,2026-06-29T08:57:06.494002+00:00
57,6928,Deniz Undav,759,Germany,3,3,2.0,,2026-06-29T08:57:06.494007+00:00
58,118981,Elijah Just,783,New Zealand,3,3,,,2026-06-29T08:57:06.494011+00:00
59,612,Yoane Wissa,1934,Congo DR,2,3,,1.0,2026-06-29T08:57:06.494015+00:00
60,8004,Harry Kane,770,England,3,3,,1.0,2026-06-29T08:57:06.494039+00:00
61,212309,Johan Manzambi,788,Switzerland,3,3,1.0,,2026-06-29T08:57:06.494044+00:00
62,8924,Jonathan David,828,Canada,4,3,,,2026-06-29T08:57:06.494049+00:00
63,30842,Matheus Cunha,764,Brazil,3,3,,,2026-06-29T08:57:06.494070+00:00
64,97535,Brian Brobbey,8601,Netherlands,3,3,,,2026-06-29T08:57:06.494074+00:00
65,3638,Ismaïla Sarr,804,Senegal,3,3,1.0,,2026-06-29T08:57:06.494079+00:00
66,39237,Julián Quiñones,769,Mexico,3,2,,,2026-06-29T08:57:06.494083+00:00
67,15958,Cyle Larin,828,Canada,4,2,,,2026-06-29T08:57:06.494088+00:00
68,131040,Folarin Balogun,771,United States,3,2,,,2026-06-29T08:57:06.494092+00:00
69,171,Kai Havertz,759,Germany,3,2,,1.0,2026-06-29T08:57:06.494096+00:00
70,102193,Crysencio Summerville,8601,Netherlands,3,2,1.0,,2026-06-29T08:57:06.494101+00:00
71,6716,Daichi Kamada,766,Japan,3,2,,,2026-06-29T08:57:06.494106+00:00
72,145613,Yasin Ayari,792,Sweden,3,2,,,2026-06-29T08:57:06.494110+00:00
73,28770,Maximiliano Araújo,758,Uruguay,3,2,1.0,,2026-06-29T08:57:06.494114+00:00
74,3804,Ramin Rezaeian,840,Iran,3,2,1.0,,2026-06-29T08:57:06.494119+00:00
75,8223,Marko Arnautovic,816,Austria,3,2,,1.0,2026-06-29T08:57:06.494123+00:00
76,125010,Jude Bellingham,770,England,3,2,1.0,,2026-06-29T08:57:06.494127+00:00
77,22010,Daniel Muñoz,818,Colombia,2,2,,,2026-06-29T08:57:06.494132+00:00
78,31913,Ruben Vargas,788,Switzerland,3,2,1.0,,2026-06-29T08:57:06.494136+00:00
79,221764,Ermin Mahmic,1060,Bosnia-Herzegovina,3,2,,,2026-06-29T08:57:06.494140+00:00
80,7459,Cody Gakpo,8601,Netherlands,3,2,1.0,,2026-06-29T08:57:06.494145+00:00
81,166376,Anthony Elanga,792,Sweden,3,2,,,2026-06-29T08:57:06.494149+00:00
82,119460,Ayase Ueda,766,Japan,3,2,1.0,,2026-06-29T08:57:06.494153+00:00
83,180137,Mikel Oyarzabal,760,Spain,3,2,1.0,,2026-06-29T08:57:06.494158+00:00
84,44,Cristiano Ronaldo,765,Portugal,3,2,,,2026-06-29T08:57:06.494162+00:00
85,8412,Nicolas Pépé,1935,Ivory Coast,2,2,,,2026-06-29T08:57:06.494166+00:00
86,633,Pape Gueye,804,Senegal,3,2,1.0,,2026-06-29T08:57:06.494171+00:00
87,8984,Leandro Trossard,805,Belgium,3,2,,,2026-06-29T08:57:06.494175+00:00
88,8069,Riyad Mahrez,778,Algeria,3,2,2.0,,2026-06-29T08:57:06.494180+00:00
89,3305,Raúl Jiménez,769,Mexico,3,1,,,2026-06-29T08:57:06.494184+00:00
90,1878,Ladislav Krejčí,798,Czechia,3,1,,,2026-06-29T08:57:06.494188+00:00
91,170561,In-beom Hwang,772,South Korea,3,1,1.0,,2026-06-29T08:57:06.494193+00:00
92,191295,Hyun-Gyu Oh,772,South Korea,3,1,,,2026-06-29T08:57:06.494198+00:00
93,17767,Jovo Lukić,1060,Bosnia-Herzegovina,3,1,,,2026-06-29T08:57:06.494202+00:00
94,119594,Mauricio,761,Paraguay,3,1,,,2026-06-29T08:57:06.494206+00:00
95,136733,Gio Reyna,771,United States,3,1,,,2026-06-29T08:57:06.494211+00:00
96,3483,Breel Embolo,788,Switzerland,3,1,2.0,1.0,2026-06-29T08:57:06.494215+00:00
97,115828,Boualem Khoukhi,8030,Qatar,3,1,,,2026-06-29T08:57:06.494219+00:00
98,34646,John McGinn,8873,Scotland,3,1,,,2026-06-29T08:57:06.494223+00:00
99,176991,Nestor Irankunda,779,Australia,3,1,,,2026-06-29T08:57:06.494228+00:00
100,4635,Connor Metcalfe,779,Australia,3,1,,,2026-06-29T08:57:06.494232+00:00
